nombre_sector_code,nro_crianza,nro_pabellon,mes_carga,edad_madres_dias,peso_inicial_gramos,sexo,edad_promedio_faena_dias,edad_proyeccion_dias,kilos_recibidos_percapita,ganancia_promedio_gramos,tipoConstruccion,densidad_pollos_m2
los pavos,109,6,9,280.0,47.5,MACHO,44.0,32,3.047173732335827,65.38945377037143,Tradicional,14.967637540453074
los pavos,109,7,9,280.0,47.5,MACHO,44.0,32,3.047173732335827,64.10479602310464,Tradicional,14.967637540453074
los pavos,109,8,9,298.83227027027027,47.356945945945945,MACHO,44.0,32,3.047173732335827,66.37194313436949,Tradicional,14.967637540453074
los pavos,110,1,11,385.2346368715084,49.212290502793294,HEMBRA,45.37510929758088,32,2.9898811264110443,59.51039940391311,Tradicional,14.482200647249192
los pavos,110,2,11,390.3966480446928,48.28994413407821,HEMBRA,46.0,32,2.9898811264110443,56.968295349423926,Tradicional,14.482200647249192
los pavos,110,3,11,441.3519553072626,50.597765363128495,HEMBRA,46.0,32,2.9898811264110443,60.12702472293265,Tradicional,14.482200647249192
los pavos,110,4,11,264.6703910614525,44.10335195530726,HEMBRA,46.0,32,2.9898811264110443,57.18478260869565,Tradicional,14.482200647249192
los pavos,110,6,11,395.3240223463687,49.013966480446925,HEMBRA,46.0,32,2.9898811264110443,57.57273618829683,Tradicional,14.482200647249192
los pavos,110,7,11,253.44340782122904,44.21488268156425,HEMBRA,45.0,32,2.9898811264110443,59.690506598552574,Tradicional,14.482200647249192
los pavos,110,8,11,388.9106145251397,48.48324022346369,HEMBRA,46.0,32,2.9898811264110443,58.578819994992905,Tradicional,14.482200647249192
los pavos,111,1,1,237.80555555555557,40.08888888888889,HEMBRA,44.0,32,2.767328481594008,59.96753246753247,Tradicional,14.563106796116505
los pavos,111,2,1,374.6555555555556,47.25277777777778,HEMBRA,44.0,32,2.767328481594008,58.783719718676736,Tradicional,14.563106796116505
los pavos,111,3,1,203.0,44.0,HEMBRA,42.0,32,2.767328481594008,58.81134829410693,Tradicional,14.563106796116505
los pavos,111,4,1,211.86666666666667,41.45,HEMBRA,42.0,32,2.767328481594008,59.173773987206815,Tradicional,14.563106796116505
los pavos,111,5,1,413.0,49.13333333333333,HEMBRA,44.0,32,2.767328481594008,58.058896356561725,Tradicional,14.563106796116505
los pavos,111,6,1,325.9666666666667,46.644444444444446,HEMBRA,44.0,32,2.767328481594008,57.05140186915887,Tradicional,14.563106796116505
los pavos,111,8,1,337.55555555555554,46.93333333333333,HEMBRA,44.0,32,2.767328481594008,58.53669278197581,Tradicional,14.563106796116505
los pavos,112,1,3,207.31666666666663,38.87777777777778,HEMBRA,43.0,32,3.133978906863404,63.76988984088127,Tradicional,14.563106796116505
los pavos,112,2,3,220.5,40.25,HEMBRA,43.0,32,3.133978906863404,63.92020482184766,Tradicional,14.563106796116505
los pavos,112,3,3,259.0,43.0,HEMBRA,42.0,32,3.133978906863404,61.27916120576671,Tradicional,14.563106796116505
los pavos,112,4,3,299.5611111111112,44.0,HEMBRA,43.0,32,3.133978906863404,63.07032522357312,Tradicional,14.563106796116505
los pavos,112,5,3,275.56666666666666,44.48888888888889,HEMBRA,43.0,32,3.133978906863404,63.804774723092535,Tradicional,14.563106796116505
los pavos,112,6,3,299.7944444444444,45.87222222222222,HEMBRA,43.0,32,3.133978906863404,61.98158914728681,Tradicional,14.563106796116505
los pavos,112,7,3,354.6277777777778,47.8,HEMBRA,43.0,32,3.133978906863404,62.67794221282594,Tradicional,14.563106796116505
los pavos,112,8,3,395.18888888888887,49.21111111111111,HEMBRA,43.0,32,3.133978906863404,62.01874714220393,Tradicional,14.563106796116505
los pavos,113,1,5,272.8864864864865,42.68378378378378,HEMBRA,44.0,32,2.8909863602534585,59.1815697963239,Tradicional,14.967637540453074
los pavos,113,2,5,344.17297297297296,47.06216216216216,HEMBRA,44.0,32,2.8909863602534585,61.47304832713756,Tradicional,14.967637540453074
los pavos,113,3,5,330.40000000000003,46.3054054054054,HEMBRA,44.0,32,2.8909863602534585,61.28307327001357,Tradicional,14.967637540453074
los pavos,113,4,5,231.0,40.0,HEMBRA,43.0,32,2.8909863602534585,61.127410795184886,Tradicional,14.967637540453074
los pavos,113,6,5,442.9675675675676,49.68108108108108,HEMBRA,44.0,32,2.8909863602534585,61.895253109125946,Tradicional,14.967637540453074
los pavos,113,7,5,274.0129189189189,43.03749567567567,HEMBRA,44.0,32,2.8909863602534585,60.41941764008803,Tradicional,14.967637540453074
los pavos,114,1,7,198.91351351351352,38.20540540540541,HEMBRA,43.0,32,3.103996254176806,63.27380684629571,Tradicional,14.967637540453074
los pavos,114,2,7,238.9081081081081,41.50270270270271,HEMBRA,43.0,32,3.103996254176806,64.15524128539869,Tradicional,14.967637540453074
los pavos,114,3,7,277.3513513513513,44.935135135135134,HEMBRA,43.0,32,3.103996254176806,62.81751439750297,Tradicional,14.967637540453074
los pavos,114,4,7,317.572972972973,47.77567567567568,HEMBRA,43.0,32,3.103996254176806,64.0360691705721,Tradicional,14.967637540453074
los pavos,114,7,7,246.78367567567568,43.56155405405406,HEMBRA,43.0,32,3.103996254176806,62.7118790870902,Tradicional,14.967637540453074
los pavos,114,8,7,355.372972972973,49.035135135135135,HEMBRA,43.0,32,3.103996254176806,61.8249600568081,Tradicional,14.967637540453074
los pinos,167,1,7,342.4839743589744,48.13301282051282,MACHO,42.0,32,3.301916622870813,67.56021327449899,Tradicional,13.0
los pinos,167,2,7,342.0128205128205,47.782051282051285,MACHO,43.0,32,3.301916622870813,68.32116279069767,Tradicional,13.0
los pinos,167,3,7,285.83333333333337,45.2323717948718,MACHO,43.0,32,3.301916622870813,65.04077923288438,Tradicional,13.0
los pinos,167,4,7,211.6602564102564,40.97435897435897,MACHO,43.0,32,3.301916622870813,64.41883979589437,Tradicional,13.0
los pinos,167,5,7,193.86858974358972,38.01442307692308,MACHO,43.0,32,3.301916622870813,61.575890462083926,Tradicional,13.0
los pinos,167,7,7,306.0765705128205,45.26514423076923,MACHO,42.0,32,3.301916622870813,67.08967351159697,Tradicional,13.0
los pinos,167,8,7,228.80128205128207,42.18589743589744,MACHO,42.0,32,3.301916622870813,61.771086056800335,Tradicional,13.0
los pinos,167,9,7,395.83653846153845,49.47275641025641,MACHO,43.0,32,3.301916622870813,69.20596971672825,Tradicional,13.0
los pinos,167,10,7,311.92628205128204,45.87179487179487,MACHO,43.0,32,3.301916622870813,72.55694447764047,Tradicional,13.0
los pinos,167,11,7,370.29259615384615,47.81805,MACHO,42.11787072243346,32,3.301916622870813,69.22936658785716,Tradicional,13.0
los pinos,167,12,7,323.323717948718,46.72115384615385,MACHO,43.0,32,3.301916622870813,69.52284655014687,Tradicional,13.0
los pinos,167,13,7,399.448717948718,49.17628205128205,MACHO,43.0,32,3.301916622870813,70.89323467230444,Tradicional,13.0
los pinos,167,14,7,350.80769230769226,47.94871794871795,MACHO,43.0,32,3.301916622870813,70.9186768741875,Tradicional,13.0
los pinos,167,15,7,373.78205128205127,47.9599358974359,MACHO,44.0,32,3.301916622870813,71.07328292949536,Tradicional,13.0
los pinos,168,1,9,207.53205128205127,38.82371794871795,MACHO,45.0,32,3.526612073326008,72.00257706412926,Tradicional,13.0
los pinos,168,2,9,259.40384615384613,43.07692307692308,MACHO,45.0,32,3.526612073326008,73.30620386993816,Tradicional,13.0
los pinos,168,3,9,266.94230769230774,43.86538461538461,MACHO,45.0,32,3.526612073326008,75.25219824140687,Tradicional,13.0
los pinos,168,4,9,333.01602564102564,46.8573717948718,MACHO,45.0,32,3.526612073326008,74.07001795332137,Tradicional,13.0
los pinos,168,5,9,266.224358974359,46.51602564102564,MACHO,45.0,32,3.526612073326008,71.92298331641213,Tradicional,13.0
los pinos,168,6,9,291.41987179487177,47.54807692307692,MACHO,45.0,32,3.526612073326008,73.2986605647156,Tradicional,13.0
los pinos,168,7,9,382.375,49.85576923076923,MACHO,45.0,32,3.526612073326008,73.27387654320988,Tradicional,13.0
los pinos,168,8,9,211.26785256410255,38.50735576923077,MACHO,44.556444444444445,32,3.526612073326008,69.11243665961777,Tradicional,13.0
los pinos,168,9,9,214.75641025641025,40.07692307692308,MACHO,44.0,32,3.526612073326008,71.84661611680247,Tradicional,13.0
los pinos,168,10,9,237.349358974359,42.10897435897436,MACHO,45.0,32,3.526612073326008,71.46112382063129,Tradicional,13.0
los pinos,168,11,9,335.1315064102564,47.03137211538462,MACHO,45.0,32,3.526612073326008,74.23796256842243,Tradicional,13.0
los pinos,168,12,9,319.93589743589746,46.8525641025641,MACHO,44.0,32,3.526612073326008,70.41057529388779,Tradicional,13.0
los pinos,168,13,9,395.3878205128205,49.38782051282051,MACHO,44.0,32,3.526612073326008,72.63570961412688,Tradicional,13.0
los pinos,168,14,9,372.2564102564103,49.02564102564103,MACHO,46.0,32,3.526612073326008,75.74746414780559,Tradicional,13.0
los pinos,168,15,9,377.7307692307692,49.03846153846154,MACHO,45.87869643934822,32,3.526612073326008,72.1441297653134,Tradicional,13.0
los pinos,169,1,11,237.72,43.32,MACHO,46.0,32,3.3996391132496995,72.5241994030814,Tradicional,12.5
los pinos,169,3,11,341.43666666666667,47.376666666666665,MACHO,45.0,32,3.3996391132496995,74.35161224070652,Tradicional,12.5
los pinos,169,4,11,395.15,49.14,MACHO,45.0,32,3.3996391132496995,74.29917773561039,Tradicional,12.5
los pinos,169,5,11,220.85,40.2,MACHO,44.0,32,3.3996391132496995,67.24469268960794,Tradicional,12.5
los pinos,169,7,11,274.6333333333333,44.02666666666666,MACHO,44.0,32,3.3996391132496995,70.37753222836095,Tradicional,12.5
los pinos,169,8,11,301.42,45.53,MACHO,44.0,32,3.3996391132496995,71.42652148223179,Tradicional,12.5
los pinos,169,9,11,288.82,45.251666666666665,MACHO,44.0,32,3.3996391132496995,71.05214152700187,Tradicional,12.5
los pinos,169,11,11,315.36516666666665,46.316304333333335,MACHO,46.0,32,3.3996391132496995,69.57620684143221,Tradicional,12.5
los pinos,169,12,11,230.81333333333336,41.986666666666665,MACHO,44.0,32,3.3996391132496995,70.36578680330625,Tradicional,12.5
