sexo,densidad_pollos_m2,tipoConstruccion,ganancia_promedio_gramos,sexo_encoded,tipo_encoded,cluster_kmeans,cluster_hierarchical,cluster_dbscan
HEMBRA,18.0,Black Out,61.28201563670262,0,0,4,1,3
HEMBRA,18.0,Black Out,63.19482288828339,0,0,4,1,3
HEMBRA,18.0,Black Out,60.46654211956522,0,0,4,1,3
HEMBRA,18.0,Black Out,62.63437459452445,0,0,4,1,3
HEMBRA,18.0,Black Out,62.97840405431654,0,0,4,1,3
HEMBRA,18.0,Black Out,62.742600422832986,0,0,4,1,3
HEMBRA,18.0,Black Out,61.83183546491532,0,0,4,1,3
HEMBRA,18.0,Black Out,59.47825487628369,0,0,4,1,3
HEMBRA,18.0,Black Out,61.44034585380762,0,0,4,1,3
HEMBRA,18.0,Black Out,58.67840427902831,0,0,4,1,3
HEMBRA,18.0,Black Out,58.35026397661922,0,0,4,1,3
HEMBRA,18.0,Black Out,61.68414344475986,0,0,4,1,3
HEMBRA,18.0,Black Out,59.10175591302456,0,0,4,1,3
HEMBRA,18.0,Black Out,60.01970468901286,0,0,4,1,3
HEMBRA,18.0,Black Out,62.12988055806484,0,0,4,1,3
HEMBRA,18.0,Black Out,63.1910040562316,0,0,4,1,3
HEMBRA,18.0,Black Out,64.4540704070407,0,0,4,1,3
HEMBRA,18.0,Black Out,63.47791164658636,0,0,4,1,3
HEMBRA,18.0,Black Out,60.977193538169146,0,0,4,1,3
HEMBRA,18.0,Black Out,64.00904495876564,0,0,4,1,3
HEMBRA,18.0,Black Out,61.072663168594325,0,0,4,1,3
HEMBRA,18.0,Black Out,60.21612571819946,0,0,4,1,3
HEMBRA,18.0,Black Out,62.73060465768799,0,0,4,1,3
HEMBRA,18.0,Black Out,62.57879944910368,0,0,4,1,3
HEMBRA,18.0,Black Out,60.46860818350221,0,0,4,1,3
HEMBRA,18.0,Black Out,64.70698868030655,0,0,4,1,3
HEMBRA,18.0,Black Out,63.09205431836671,0,0,4,1,3
HEMBRA,18.0,Black Out,63.80555555555556,0,0,4,1,3
HEMBRA,18.0,Black Out,63.5389874353289,0,0,4,1,3
HEMBRA,18.0,Black Out,61.944909912595016,0,0,4,1,3
HEMBRA,18.0,Black Out,62.63159956900774,0,0,4,1,3
HEMBRA,18.0,Black Out,58.76552419354839,0,0,4,1,3
HEMBRA,18.0,Black Out,62.14102903538963,0,0,4,1,3
HEMBRA,18.0,Black Out,60.88437666704296,0,0,4,1,3
HEMBRA,18.0,Black Out,63.03255540937841,0,0,4,1,3
HEMBRA,18.0,Black Out,58.93710674914088,0,0,4,1,3
HEMBRA,18.0,Black Out,59.25104702881502,0,0,4,1,3
HEMBRA,18.0,Black Out,61.45902978976302,0,0,4,1,3
HEMBRA,18.0,Black Out,62.56473860262337,0,0,4,1,3
HEMBRA,18.0,Black Out,61.13105199376768,0,0,4,1,3
HEMBRA,18.0,Black Out,61.05914332873928,0,0,4,1,3
HEMBRA,18.0,Black Out,61.80834803057025,0,0,4,1,3
HEMBRA,18.0,Black Out,61.64547404547404,0,0,4,1,3
HEMBRA,18.0,Black Out,62.02517895936465,0,0,4,1,3
HEMBRA,18.0,Black Out,64.6289592760181,0,0,4,1,3
