nombre_sector_code,nro_crianza,nro_pabellon,sexo,tipoConstruccion,densidad_pollos_m2,cluster_kmeans,cluster_hierarchical,cluster_dbscan,ganancia_promedio_gramos
bosque viejo,224,3,HEMBRA,Black Out,18.0,1,0,0,61.13105199376768
bosque viejo,224,4,HEMBRA,Black Out,18.0,1,0,0,61.05914332873928
bosque viejo,224,5,HEMBRA,Black Out,18.0,1,0,0,61.80834803057025
bosque viejo,224,6,HEMBRA,Black Out,18.0,1,0,0,61.64547404547404
bosque viejo,224,7,HEMBRA,Black Out,18.0,1,0,0,62.02517895936465
bosque viejo,224,8,HEMBRA,Black Out,18.0,1,0,0,64.6289592760181
bosque viejo,224,9,HEMBRA,Black Out,18.0,1,0,0,61.65854978354977
bosque viejo,224,10,HEMBRA,Black Out,18.0,1,0,0,62.13477442965349
bosque viejo,224,11,HEMBRA,Black Out,18.0,1,0,0,60.22729335729717
bosque viejo,224,12,HEMBRA,Black Out,18.0,1,0,0,60.609186954877536
bosque viejo,224,13,HEMBRA,Black Out,18.0,1,0,0,63.26923774625403
bosque viejo,224,14,HEMBRA,Black Out,18.0,1,0,0,63.04459644322846
bosque viejo,224,17,HEMBRA,Black Out,18.0,1,0,0,63.9124487004104
bosque viejo,224,18,HEMBRA,Black Out,18.0,1,0,0,62.25208672371253
bosque viejo,224,19,HEMBRA,Black Out,18.0,1,0,0,62.60760875305881
bosque viejo,224,20,HEMBRA,Black Out,18.0,1,0,0,62.591628041905935
bosque viejo,224,21,HEMBRA,Black Out,18.0,1,0,0,61.58824322275201
bosque viejo,224,22,HEMBRA,Black Out,18.0,1,0,0,64.1044465878711
bosque viejo,224,23,HEMBRA,Black Out,18.0,1,0,0,64.2258454992297
bosque viejo,224,24,HEMBRA,Black Out,18.0,1,0,0,64.69272329737447
bosque viejo,224,25,HEMBRA,Black Out,16.0,1,0,0,69.02243932818247
bosque viejo,224,26,HEMBRA,Black Out,18.0,1,0,0,65.28628834300052
