nombre_sector,nombre_sector_code,nro_crianza,Pabellón,Cantidad Total,Fecha Guía Inicio,Fecha Guía Fin,Peso Promedio,Sexo,mes_carga,anio_carga,edad_actual,edad_proyeccion_dias,edad_criterio_proyeccion,Edad,kilos_recibidos_percapita,tipoConstruccion,densidad_pollos_m2,nombre,zonaGeografica
ESTRELLA,estrella,232,18,14500,2025-10-18,2025-10-18,38.0,HEMBRA,10,2025,33,30,33.31818181818182,30,1.4020402656970694,Tradicional,14.5,estrella,RANCAGUA
ESTRELLA,estrella,232,19,14500,2025-10-18,2025-10-18,42.88275862068966,HEMBRA,10,2025,33,30,33.31818181818182,30,1.4020402656970694,Tradicional,14.5,estrella,RANCAGUA
ESTRELLA,estrella,232,20,14500,2025-10-18,2025-10-18,50.0,HEMBRA,10,2025,33,30,33.31818181818182,30,1.4020402656970694,Tradicional,14.5,estrella,RANCAGUA
ESTRELLA,estrella,232,21,14500,2025-10-18,2025-10-18,50.15737931034483,HEMBRA,10,2025,33,30,33.31818181818182,30,1.4020402656970694,Tradicional,14.5,estrella,RANCAGUA
ESTRELLA,estrella,232,22,14500,2025-10-18,2025-10-18,48.86896551724138,HEMBRA,10,2025,33,30,33.31818181818182,30,1.4020402656970694,Tradicional,14.5,estrella,RANCAGUA
LA GLORIA,la gloria,4,2,19926,2025-10-11,2025-10-11,49.28605841613972,HEMBRA,10,2025,40,30,38.5,30,2.2631462746269437,Sin Información,-19926.0,la gloria,Centro
LA GLORIA,la gloria,4,4,19926,2025-10-13,2025-10-13,45.20129479072568,HEMBRA,10,2025,38,30,38.5,30,2.2631462746269437,Sin Información,-19926.0,la gloria,Centro
LA GLORIA,la gloria,4,6,19926,2025-10-13,2025-10-13,42.801114122252336,HEMBRA,10,2025,38,30,38.5,30,2.2631462746269437,Sin Información,-19926.0,la gloria,Centro
LA GLORIA,la gloria,4,7,19926,2025-10-13,2025-10-13,43.86394660242899,HEMBRA,10,2025,38,30,38.5,30,2.2631462746269437,Sin Información,-19926.0,la gloria,Centro
LA SOYA,la soya,233,1,12500,2025-10-14,2025-10-14,40.864,MACHO,10,2025,37,30,37.0,30,3.1755849994890832,Tradicional,12.5,la soya,RANCAGUA
