nombre_sector,nombre_sector_code,nro_crianza,Pabellón,Cantidad Total,Fecha Guía Inicio,Fecha Guía Fin,Peso Promedio,sexo,mes_carga,anio_carga,edad_actual,edad_proyeccion_dias,edad_criterio_proyeccion,Edad,kilos_recibidos_percapita,tipoConstruccion,densidad_pollos_m2,nombre,zonaGeografica,ganancia_proyectada
EL GALEÓN,el galeon,121,10,36000,2025-10-10,2025-10-11,49.75,MACHO,10,2025,40,30,40.6,30,3.296140165732344,Black Out,15.0,el galeon,COSTA,73.57488311523052
EL GALEÓN,el galeon,121,11,36000,2025-10-11,2025-10-11,44.452777777777776,MACHO,10,2025,40,30,40.6,30,3.296140165732344,Black Out,15.0,el galeon,COSTA,73.57488311523052
EL GALEÓN,el galeon,121,12,36000,2025-10-10,2025-10-10,43.48888888888889,MACHO,10,2025,41,30,40.6,30,3.296140165732344,Black Out,15.0,el galeon,COSTA,73.57488311523052
EL GALEÓN,el galeon,121,13,36000,2025-10-10,2025-10-10,37.87575,MACHO,10,2025,41,30,40.6,30,3.296140165732344,Black Out,15.0,el galeon,COSTA,73.57488311523052
EL GALEÓN,el galeon,121,14,36000,2025-10-10,2025-10-10,49.19444444444444,MACHO,10,2025,41,30,40.6,30,3.296140165732344,Black Out,15.0,el galeon,COSTA,73.57488311523052
EL GALEÓN,el galeon,121,15,36000,2025-10-10,2025-10-10,44.59444444444444,MACHO,10,2025,41,30,40.6,30,3.296140165732344,Black Out,15.0,el galeon,COSTA,73.57488311523052
LA GLORIA,la gloria,4,2,19926,2025-10-11,2025-10-11,49.28605841613972,HEMBRA,10,2025,40,30,38.5,30,2.263146274626944,Black Out,14.5,la gloria,Centro,62.82125119146446
LA GLORIA,la gloria,4,4,19926,2025-10-13,2025-10-13,45.20129479072568,HEMBRA,10,2025,38,30,38.5,30,2.263146274626944,Black Out,14.5,la gloria,Centro,62.82125119146446
LA GLORIA,la gloria,4,6,19926,2025-10-13,2025-10-13,42.801114122252336,HEMBRA,10,2025,38,30,38.5,30,2.263146274626944,Black Out,14.5,la gloria,Centro,62.82125119146446
LA GLORIA,la gloria,4,7,19926,2025-10-13,2025-10-13,43.86394660242899,HEMBRA,10,2025,38,30,38.5,30,2.263146274626944,Black Out,14.5,la gloria,Centro,62.82125119146446
LA SOYA,la soya,233,1,12500,2025-10-14,2025-10-14,40.864,MACHO,10,2025,37,30,37.0,30,3.1755849994890832,Tradicional,12.5,la soya,RANCAGUA,73.62727867739429
LA SOYA,la soya,233,2,12500,2025-10-14,2025-10-14,41.0,MACHO,10,2025,37,30,37.0,30,3.1755849994890832,Tradicional,12.5,la soya,RANCAGUA,73.62727867739429
LA SOYA,la soya,233,3,12500,2025-10-14,2025-10-14,40.0,MACHO,10,2025,37,30,37.0,30,3.1755849994890832,Tradicional,12.5,la soya,RANCAGUA,73.62727867739429
LA SOYA,la soya,233,4,12500,2025-10-14,2025-10-14,43.064,MACHO,10,2025,37,30,37.0,30,3.1755849994890832,Tradicional,12.5,la soya,RANCAGUA,73.62727867739429
LA SOYA,la soya,233,5,12500,2025-10-14,2025-10-14,46.56,MACHO,10,2025,37,30,37.0,30,3.1755849994890832,Tradicional,12.5,la soya,RANCAGUA,73.62727867739429
LA SOYA,la soya,233,6,12500,2025-10-14,2025-10-14,46.688,MACHO,10,2025,37,30,37.0,30,3.1755849994890832,Tradicional,12.5,la soya,RANCAGUA,73.62727867739429
LA SOYA,la soya,233,7,12500,2025-10-14,2025-10-14,46.0,MACHO,10,2025,37,30,37.0,30,3.1755849994890832,Tradicional,12.5,la soya,RANCAGUA,73.62727867739429
