nombre_sector,nombre_sector_code,nro_crianza,Pabellón,Cantidad Total,Fecha Guía Inicio,Fecha Guía Fin,Peso Promedio,Sexo,mes_carga,anio_carga,edad_actual,edad_proyeccion_dias,edad_criterio_proyeccion,Edad,kilos_recibidos_percapita
EL GALEÓN,el galeon,121,13,36000,2025-10-10,2025-10-10,37.87575,MACHO,10,2025,41,30,40.6,30,3.296140165732344
EL GALEÓN,el galeon,121,14,36000,2025-10-10,2025-10-10,49.19444444444444,MACHO,10,2025,41,30,40.6,30,3.296140165732344
EL GALEÓN,el galeon,121,15,36000,2025-10-10,2025-10-10,44.59444444444444,MACHO,10,2025,41,30,40.6,30,3.296140165732344
EL VALLE,el valle,231,1,12500,2025-10-14,2025-10-14,49.5041784,HEMBRA,10,2025,37,30,35.82608695652174,30,1.3362063791220005
EL VALLE,el valle,231,2,12500,2025-10-14,2025-10-14,45.307188,HEMBRA,10,2025,37,30,35.82608695652174,30,1.3362063791220005
EL VALLE,el valle,231,3,14500,2025-10-14,2025-10-14,48.50689655172414,HEMBRA,10,2025,37,30,35.82608695652174,30,1.3362063791220005
EL VALLE,el valle,231,4,14500,2025-10-14,2025-10-14,49.01034482758621,HEMBRA,10,2025,37,30,35.82608695652174,30,1.3362063791220005
EL VALLE,el valle,231,5,14500,2025-10-14,2025-10-14,49.39655172413793,HEMBRA,10,2025,37,30,35.82608695652174,30,1.3362063791220005
EL VALLE,el valle,231,6,14500,2025-10-14,2025-10-14,50.01724137931034,HEMBRA,10,2025,37,30,35.82608695652174,30,1.3362063791220005
EL VALLE,el valle,231,7,14500,2025-10-14,2025-10-16,46.53919724137931,HEMBRA,10,2025,35,30,35.82608695652174,30,1.3362063791220005
EL VALLE,el valle,231,8,14500,2025-10-14,2025-10-14,49.60689655172414,HEMBRA,10,2025,37,30,35.82608695652174,30,1.3362063791220005
EL VALLE,el valle,231,10,14500,2025-10-14,2025-10-14,50.42758620689655,HEMBRA,10,2025,37,30,35.82608695652174,30,1.3362063791220005
EL VALLE,el valle,231,11,14500,2025-10-14,2025-10-15,49.737931034482756,HEMBRA,10,2025,36,30,35.82608695652174,30,1.3362063791220005
